name,brand,model,image url,cost,RAM capacity,Internal storage capacity,Display diagonal,Processor cores,Rear camera type,Mobile network generation
"Samsung Galaxy A36 5G 8/256 GB Android - mobile phone, Awesome White",SAMSUNG,Galaxy A36,https://cdn.multitronic.fi/images/prod/2/A/SM-A366BZAGEUB-1.webp,319.00,8 GB,256 GB,"17 cm (6.7"")",8,Triple camera,5G
"Samsung Galaxy A36 5G 8/256 GB Android - mobile phone, Awesome Lime",SAMSUNG,Galaxy A36,https://cdn.multitronic.fi/images/prod/9/6/SM-A366BLGGEUB-1.webp,329.00,8 GB,256 GB,"17 cm (6.7"")",8,Triple camera,5G
"Samsung Galaxy A56 5G 8/128 GB Android - mobile phone, Awesome Lightgray",SAMSUNG,Galaxy A56,https://cdn.multitronic.fi/images/prod/0/1/SM-A566BZAAEUB-1.webp,349.00,8 GB,128 GB,"17 cm (6.7"")",8,Triple camera,5G
"Samsung Galaxy S25 Ultra 5G 12/256GB Android - mobiltelefon, Titanium Black",SAMSUNG,Galaxy S25 Ultra,https://cdn.multitronic.fi/images/prod/D/2/SM-S938BZKDEUB-1.webp,1099.00,12 GB,256 GB,"17.5 cm (6.9"")",8,Quad camera,5G
"Samsung Galaxy S24 FE 128GB/8GB Android - mobile phone, Graphite",SAMSUNG,Galaxy S24 FE,https://cdn.multitronic.fi/images/prod/7/C/SM-S721BZKDEUB-1.webp,479.00,8 GB,128 GB,"17 cm (6.7"")",4,Triple camera,5G
"Nokia HMD Skyline 128/8GB Android - mobile phone, Pink",NOKIA,Skyline,https://cdn.multitronic.fi/images/prod/3/6/115x138xHQ50200046190-3.jpg.pagespeed.ic.A-79SNhJTy.jpg,440.90,8 GB,128 GB,"16.6 cm (6.55"")",8,Triple camera,5G
"OnePlus Nord CE5 8/256GB Android - mobile phone, Black Infinity",ONEPLUS,N/A,https://cdn.multitronic.fi/images/prod/6/D/5011113507-1.webp,411.90,8 GB,256 GB,"16.3 cm (6.43"")",2,Triple camera,5G
"Doro 1881 4G - phone, without charger",DORO,Doro 1881,https://cdn.multitronic.fi/images/prod/6/4/8702-1.webp,84.90,N/A,N/A,N/A,N/A,N/A,N/A
"Samsung Galaxy A56 5G 8/256 GB Android - mobile phone, Awesome Pink",SAMSUNG,Galaxy A56,https://cdn.multitronic.fi/images/prod/0/A/SM-A566BLIAEUB-1.webp,399.00,8 GB,256 GB,"17 cm (6.7"")",8,Triple camera,5G
"Apple iPhone Air 256GB - mobile phone, Sky Blue",APPLE,iPhone Air,https://cdn.multitronic.fi/images/prod/3/C/MG2P4QN-A-1.webp,1259.00,N/A,256 GB,"16.5 cm (6.5"")",6,Single camera,5G
"Apple iPhone 15 512GB iOS - mobile phone, Blue",APPLE,iPhone 15,https://cdn.multitronic.fi/images/prod/A/2/138x138xMTP43QN-A-1.jpg.pagespeed.ic.S2D7hgMczm.jpg,1104.90,N/A,512 GB,"15.5 cm (6.1"")",6,Dual camera,5G
"Samsung Galaxy S24 FE 128GB/8GB Android - mobile phone, Mint colour",SAMSUNG,Galaxy S24 FE,https://cdn.multitronic.fi/images/prod/4/7/SM-S721BLGDEUB-1.webp,479.00,8 GB,128 GB,"17 cm (6.7"")",4,Triple camera,5G
"Xiaomi 15 Ultra 16/512 GB Android - mobile phone, black",XIAOMI,Xiaomi 15 Ultra,https://cdn.multitronic.fi/images/prod/A/E/MZB0JHAEU-1.webp,1265.90,16 GB,512 GB,"17.1 cm (6.73"")",8,Quad camera,5G
"Samsung Galaxy A36 5G 8/256 GB Android - mobile phone, Awesome Lavender",SAMSUNG,Galaxy A36,https://cdn.multitronic.fi/images/prod/1/E/SM-A366BLVGEUB-1.webp,329.00,8 GB,256 GB,"17 cm (6.7"")",8,Triple camera,5G
"Google Pixel 8 8/128GB - mobile phone, Pink",GOOGLE,Pixel 8,https://cdn.multitronic.fi/images/prod/B/6/GA04856-GB-1.webp,458.90,8 GB,128 GB,"15.8 cm (6.2"")",N/A,Dual camera,5G
"Motorola Edge 60 12/512GB, Andrdoid - mobile phone, Gibraltar Sea",MOTOROLA,N/A,https://cdn.multitronic.fi/images/prod/C/C/PB7H0020ES-1.webp,384.90,12 GB,512 GB,"16.9 cm (6.67"")",8,Triple camera,5G
"Motorola Razr 50 256/8GB Android - mobile phone, Beach Sand",MOTOROLA,Razr 50 Ultra,https://cdn.multitronic.fi/images/prod/C/7/PB200010SE-1.webp,995.90,8 GB,256 GB,"17.5 cm (6.9"")",N/A,Dual camera,5G
"Apple iPhone 14 Plus 512GB iOS - mobile phone, (PRODUCT)RED",APPLE,iPhone 14 Plus,https://cdn.multitronic.fi/images/prod/B/8/MQ5F3QN-A-1.webp,899.00,N/A,512 GB,"17 cm (6.7"")",6,Dual camera,5G
OPPO A60 5G CPH2683 Europe 128GB 4GB Ocean Blue Android OEU,OPPO,A60,https://cdn.multitronic.fi/images/prod/B/1/110010347532-1.webp,137.90,N/A,N/A,"16.9 cm (6.67"")",N/A,N/A,5G
"Apple iPhone 16 Pro Max 256GB - mobile phone, Black Titanium",APPLE,iPhone 16 Pro Max,https://cdn.multitronic.fi/images/prod/4/4/MYWV3QN-A-1.webp,1409.00,N/A,256 GB,"17.5 cm (6.9"")",6,Triple camera,5G
"Xiaomi Redmi Note 14 128/6GB 4G  Android - mobile phone, Purple",XIAOMI,Note 14,/images/138x138xnoimage_lg.jpg.pagespeed.ic.I2VJlOgj4-.jpg,244.90,6 GB,128 GB,"16.9 cm (6.67"")",8,Triple camera,4G
"Samsung Galaxy A36 5G 6/128 GB Android - mobile phone, Awesome Black",SAMSUNG,Galaxy A36,https://cdn.multitronic.fi/images/prod/1/F/SM-A366BZKBEUB-1.webp,269.00,6 GB,128 GB,"17 cm (6.7"")",8,Triple camera,5G
"Samsung Galaxy A36 5G 6/128 GB Android - mobile phone, Awesome White",SAMSUNG,Galaxy A36,https://cdn.multitronic.fi/images/prod/2/A/SM-A366BZAGEUB-1.webp,269.00,6 GB,128 GB,"17 cm (6.7"")",8,Triple camera,5G
"Samsung Galaxy S24 FE 128GB/8GB Android - mobile phone, Blue",SAMSUNG,Galaxy S24 FE,https://cdn.multitronic.fi/images/prod/6/D/SM-S721BLBDEUB-1.webp,479.00,8 GB,128 GB,"17 cm (6.7"")",4,Triple camera,5G
"Samsung Galaxy A36 5G 8/256 GB Android - mobile phone, Awesome White",SAMSUNG,Galaxy A36,https://cdn.multitronic.fi/images/prod/2/A/SM-A366BZAGEUB-1.webp,319.00,8 GB,256 GB,"17 cm (6.7"")",8,Triple camera,5G
"Samsung Galaxy A36 5G 8/256 GB Android - mobile phone, Awesome Lime",SAMSUNG,Galaxy A36,https://cdn.multitronic.fi/images/prod/9/6/SM-A366BLGGEUB-1.webp,329.00,8 GB,256 GB,"17 cm (6.7"")",8,Triple camera,5G
"Samsung Galaxy A56 5G 8/128 GB Android - mobile phone, Awesome Lightgray",SAMSUNG,Galaxy A56,https://cdn.multitronic.fi/images/prod/0/1/SM-A566BZAAEUB-1.webp,349.00,8 GB,128 GB,"17 cm (6.7"")",8,Triple camera,5G
"Samsung Galaxy S25 Ultra 5G 12/256GB Android - mobiltelefon, Titanium Black",SAMSUNG,Galaxy S25 Ultra,https://cdn.multitronic.fi/images/prod/D/2/SM-S938BZKDEUB-1.webp,1099.00,12 GB,256 GB,"17.5 cm (6.9"")",8,Quad camera,5G
"Samsung Galaxy S24 FE 128GB/8GB Android - mobile phone, Graphite",SAMSUNG,Galaxy S24 FE,https://cdn.multitronic.fi/images/prod/7/C/SM-S721BZKDEUB-1.webp,479.00,8 GB,128 GB,"17 cm (6.7"")",4,Triple camera,5G
"Nokia HMD Skyline 128/8GB Android - mobile phone, Pink",NOKIA,Skyline,https://cdn.multitronic.fi/images/prod/3/6/115x138xHQ50200046190-3.jpg.pagespeed.ic.A-79SNhJTy.jpg,440.90,8 GB,128 GB,"16.6 cm (6.55"")",8,Triple camera,5G
"OnePlus Nord CE5 8/256GB Android - mobile phone, Black Infinity",ONEPLUS,N/A,https://cdn.multitronic.fi/images/prod/6/D/5011113507-1.webp,411.90,8 GB,256 GB,"16.3 cm (6.43"")",2,Triple camera,5G
"Doro 1881 4G - phone, without charger",DORO,Doro 1881,https://cdn.multitronic.fi/images/prod/6/4/8702-1.webp,84.90,N/A,N/A,N/A,N/A,N/A,N/A
"Samsung Galaxy A56 5G 8/256 GB Android - mobile phone, Awesome Pink",SAMSUNG,Galaxy A56,https://cdn.multitronic.fi/images/prod/0/A/SM-A566BLIAEUB-1.webp,399.00,8 GB,256 GB,"17 cm (6.7"")",8,Triple camera,5G
"Apple iPhone Air 256GB - mobile phone, Sky Blue",APPLE,iPhone Air,https://cdn.multitronic.fi/images/prod/3/C/MG2P4QN-A-1.webp,1259.00,N/A,256 GB,"16.5 cm (6.5"")",6,Single camera,5G
"Apple iPhone 15 512GB iOS - mobile phone, Blue",APPLE,iPhone 15,https://cdn.multitronic.fi/images/prod/A/2/138x138xMTP43QN-A-1.jpg.pagespeed.ic.S2D7hgMczm.jpg,1104.90,N/A,512 GB,"15.5 cm (6.1"")",6,Dual camera,5G
"Samsung Galaxy S24 FE 128GB/8GB Android - mobile phone, Mint colour",SAMSUNG,Galaxy S24 FE,https://cdn.multitronic.fi/images/prod/4/7/SM-S721BLGDEUB-1.webp,479.00,8 GB,128 GB,"17 cm (6.7"")",4,Triple camera,5G
"Xiaomi 15 Ultra 16/512 GB Android - mobile phone, black",XIAOMI,Xiaomi 15 Ultra,https://cdn.multitronic.fi/images/prod/A/E/MZB0JHAEU-1.webp,1265.90,16 GB,512 GB,"17.1 cm (6.73"")",8,Quad camera,5G
"Samsung Galaxy A36 5G 8/256 GB Android - mobile phone, Awesome Lavender",SAMSUNG,Galaxy A36,https://cdn.multitronic.fi/images/prod/1/E/SM-A366BLVGEUB-1.webp,329.00,8 GB,256 GB,"17 cm (6.7"")",8,Triple camera,5G
"Google Pixel 8 8/128GB - mobile phone, Pink",GOOGLE,Pixel 8,https://cdn.multitronic.fi/images/prod/B/6/GA04856-GB-1.webp,458.90,8 GB,128 GB,"15.8 cm (6.2"")",N/A,Dual camera,5G
"Motorola Edge 60 12/512GB, Andrdoid - mobile phone, Gibraltar Sea",MOTOROLA,N/A,https://cdn.multitronic.fi/images/prod/C/C/PB7H0020ES-1.webp,384.90,12 GB,512 GB,"16.9 cm (6.67"")",8,Triple camera,5G
"Motorola Razr 50 256/8GB Android - mobile phone, Beach Sand",MOTOROLA,Razr 50 Ultra,https://cdn.multitronic.fi/images/prod/C/7/PB200010SE-1.webp,995.90,8 GB,256 GB,"17.5 cm (6.9"")",N/A,Dual camera,5G
"Apple iPhone 14 Plus 512GB iOS - mobile phone, (PRODUCT)RED",APPLE,iPhone 14 Plus,https://cdn.multitronic.fi/images/prod/B/8/MQ5F3QN-A-1.webp,899.00,N/A,512 GB,"17 cm (6.7"")",6,Dual camera,5G
OPPO A60 5G CPH2683 Europe 128GB 4GB Ocean Blue Android OEU,OPPO,A60,https://cdn.multitronic.fi/images/prod/B/1/110010347532-1.webp,137.90,N/A,N/A,"16.9 cm (6.67"")",N/A,N/A,5G
"Apple iPhone 16 Pro Max 256GB - mobile phone, Black Titanium",APPLE,iPhone 16 Pro Max,https://cdn.multitronic.fi/images/prod/4/4/MYWV3QN-A-1.webp,1409.00,N/A,256 GB,"17.5 cm (6.9"")",6,Triple camera,5G
"Xiaomi Redmi Note 14 128/6GB 4G  Android - mobile phone, Purple",XIAOMI,Note 14,/images/138x138xnoimage_lg.jpg.pagespeed.ic.I2VJlOgj4-.jpg,244.90,6 GB,128 GB,"16.9 cm (6.67"")",8,Triple camera,4G
"Samsung Galaxy A36 5G 6/128 GB Android - mobile phone, Awesome Black",SAMSUNG,Galaxy A36,https://cdn.multitronic.fi/images/prod/1/F/SM-A366BZKBEUB-1.webp,269.00,6 GB,128 GB,"17 cm (6.7"")",8,Triple camera,5G
"Samsung Galaxy A36 5G 6/128 GB Android - mobile phone, Awesome White",SAMSUNG,Galaxy A36,https://cdn.multitronic.fi/images/prod/2/A/SM-A366BZAGEUB-1.webp,269.00,6 GB,128 GB,"17 cm (6.7"")",8,Triple camera,5G
"Samsung Galaxy S24 FE 128GB/8GB Android - mobile phone, Blue",SAMSUNG,Galaxy S24 FE,https://cdn.multitronic.fi/images/prod/6/D/SM-S721BLBDEUB-1.webp,479.00,8 GB,128 GB,"17 cm (6.7"")",4,Triple camera,5G
"Samsung Galaxy A36 5G 8/256 GB Android - mobile phone, Awesome White",SAMSUNG,Galaxy A36,https://cdn.multitronic.fi/images/prod/2/A/SM-A366BZAGEUB-1.webp,319.00,8 GB,256 GB,"17 cm (6.7"")",8,Triple camera,5G
"Samsung Galaxy A36 5G 8/256 GB Android - mobile phone, Awesome Lime",SAMSUNG,Galaxy A36,https://cdn.multitronic.fi/images/prod/9/6/SM-A366BLGGEUB-1.webp,329.00,8 GB,256 GB,"17 cm (6.7"")",8,Triple camera,5G
"Samsung Galaxy A56 5G 8/128 GB Android - mobile phone, Awesome Lightgray",SAMSUNG,Galaxy A56,https://cdn.multitronic.fi/images/prod/0/1/SM-A566BZAAEUB-1.webp,349.00,8 GB,128 GB,"17 cm (6.7"")",8,Triple camera,5G
"Samsung Galaxy S25 Ultra 5G 12/256GB Android - mobiltelefon, Titanium Black",SAMSUNG,Galaxy S25 Ultra,https://cdn.multitronic.fi/images/prod/D/2/SM-S938BZKDEUB-1.webp,1099.00,12 GB,256 GB,"17.5 cm (6.9"")",8,Quad camera,5G
"Samsung Galaxy S24 FE 128GB/8GB Android - mobile phone, Graphite",SAMSUNG,Galaxy S24 FE,https://cdn.multitronic.fi/images/prod/7/C/SM-S721BZKDEUB-1.webp,479.00,8 GB,128 GB,"17 cm (6.7"")",4,Triple camera,5G
"Nokia HMD Skyline 128/8GB Android - mobile phone, Pink",NOKIA,Skyline,https://cdn.multitronic.fi/images/prod/3/6/115x138xHQ50200046190-3.jpg.pagespeed.ic.A-79SNhJTy.jpg,440.90,8 GB,128 GB,"16.6 cm (6.55"")",8,Triple camera,5G
"OnePlus Nord CE5 8/256GB Android - mobile phone, Black Infinity",ONEPLUS,N/A,https://cdn.multitronic.fi/images/prod/6/D/5011113507-1.webp,411.90,8 GB,256 GB,"16.3 cm (6.43"")",2,Triple camera,5G
"Doro 1881 4G - phone, without charger",DORO,Doro 1881,https://cdn.multitronic.fi/images/prod/6/4/8702-1.webp,84.90,N/A,N/A,N/A,N/A,N/A,N/A
"Samsung Galaxy A56 5G 8/256 GB Android - mobile phone, Awesome Pink",SAMSUNG,Galaxy A56,https://cdn.multitronic.fi/images/prod/0/A/SM-A566BLIAEUB-1.webp,399.00,8 GB,256 GB,"17 cm (6.7"")",8,Triple camera,5G
"Apple iPhone Air 256GB - mobile phone, Sky Blue",APPLE,iPhone Air,https://cdn.multitronic.fi/images/prod/3/C/MG2P4QN-A-1.webp,1259.00,N/A,256 GB,"16.5 cm (6.5"")",6,Single camera,5G
"Apple iPhone 15 512GB iOS - mobile phone, Blue",APPLE,iPhone 15,https://cdn.multitronic.fi/images/prod/A/2/138x138xMTP43QN-A-1.jpg.pagespeed.ic.S2D7hgMczm.jpg,1104.90,N/A,512 GB,"15.5 cm (6.1"")",6,Dual camera,5G
"Samsung Galaxy S24 FE 128GB/8GB Android - mobile phone, Mint colour",SAMSUNG,Galaxy S24 FE,https://cdn.multitronic.fi/images/prod/4/7/SM-S721BLGDEUB-1.webp,479.00,8 GB,128 GB,"17 cm (6.7"")",4,Triple camera,5G
"Xiaomi 15 Ultra 16/512 GB Android - mobile phone, black",XIAOMI,Xiaomi 15 Ultra,https://cdn.multitronic.fi/images/prod/A/E/MZB0JHAEU-1.webp,1265.90,16 GB,512 GB,"17.1 cm (6.73"")",8,Quad camera,5G
"Samsung Galaxy A36 5G 8/256 GB Android - mobile phone, Awesome Lavender",SAMSUNG,Galaxy A36,https://cdn.multitronic.fi/images/prod/1/E/SM-A366BLVGEUB-1.webp,329.00,8 GB,256 GB,"17 cm (6.7"")",8,Triple camera,5G
"Google Pixel 8 8/128GB - mobile phone, Pink",GOOGLE,Pixel 8,https://cdn.multitronic.fi/images/prod/B/6/GA04856-GB-1.webp,458.90,8 GB,128 GB,"15.8 cm (6.2"")",N/A,Dual camera,5G
"Motorola Edge 60 12/512GB, Andrdoid - mobile phone, Gibraltar Sea",MOTOROLA,N/A,https://cdn.multitronic.fi/images/prod/C/C/PB7H0020ES-1.webp,384.90,12 GB,512 GB,"16.9 cm (6.67"")",8,Triple camera,5G
"Motorola Razr 50 256/8GB Android - mobile phone, Beach Sand",MOTOROLA,Razr 50 Ultra,https://cdn.multitronic.fi/images/prod/C/7/PB200010SE-1.webp,995.90,8 GB,256 GB,"17.5 cm (6.9"")",N/A,Dual camera,5G
"Apple iPhone 14 Plus 512GB iOS - mobile phone, (PRODUCT)RED",APPLE,iPhone 14 Plus,https://cdn.multitronic.fi/images/prod/B/8/MQ5F3QN-A-1.webp,899.00,N/A,512 GB,"17 cm (6.7"")",6,Dual camera,5G
OPPO A60 5G CPH2683 Europe 128GB 4GB Ocean Blue Android OEU,OPPO,A60,https://cdn.multitronic.fi/images/prod/B/1/110010347532-1.webp,137.90,N/A,N/A,"16.9 cm (6.67"")",N/A,N/A,5G
"Apple iPhone 16 Pro Max 256GB - mobile phone, Black Titanium",APPLE,iPhone 16 Pro Max,https://cdn.multitronic.fi/images/prod/4/4/MYWV3QN-A-1.webp,1409.00,N/A,256 GB,"17.5 cm (6.9"")",6,Triple camera,5G
"Xiaomi Redmi Note 14 128/6GB 4G  Android - mobile phone, Purple",XIAOMI,Note 14,/images/138x138xnoimage_lg.jpg.pagespeed.ic.I2VJlOgj4-.jpg,244.90,6 GB,128 GB,"16.9 cm (6.67"")",8,Triple camera,4G
"Samsung Galaxy A36 5G 6/128 GB Android - mobile phone, Awesome Black",SAMSUNG,Galaxy A36,https://cdn.multitronic.fi/images/prod/1/F/SM-A366BZKBEUB-1.webp,269.00,6 GB,128 GB,"17 cm (6.7"")",8,Triple camera,5G
"Samsung Galaxy A36 5G 6/128 GB Android - mobile phone, Awesome White",SAMSUNG,Galaxy A36,https://cdn.multitronic.fi/images/prod/2/A/SM-A366BZAGEUB-1.webp,269.00,6 GB,128 GB,"17 cm (6.7"")",8,Triple camera,5G
"Samsung Galaxy S24 FE 128GB/8GB Android - mobile phone, Blue",SAMSUNG,Galaxy S24 FE,https://cdn.multitronic.fi/images/prod/6/D/SM-S721BLBDEUB-1.webp,479.00,8 GB,128 GB,"17 cm (6.7"")",4,Triple camera,5G
"Samsung Galaxy A36 5G 8/256 GB Android - mobile phone, Awesome White",SAMSUNG,Galaxy A36,https://cdn.multitronic.fi/images/prod/2/A/SM-A366BZAGEUB-1.webp,319.00,8 GB,256 GB,"17 cm (6.7"")",8,Triple camera,5G
